dataset,fusion,n,expert_disagreement,spectral_correction_rate_given_spatial_wrong,spectral_harm_rate_given_spatial_correct,fusion_correction_rate_given_spatial_wrong,fusion_harm_rate_given_spatial_correct,mean_logloss_gain_vs_spatial,mean_gain_spatial_wrong,mean_gain_spatial_correct,fraction_positive_logloss_gain
kth_tips2b,C3_LINEAR_FUSION,4752,0.5418771043771043,0.1418234442836468,0.5035705491258311,0.0,0.0,-0.0016851266996083,0.0016427285078569,-0.002251378349044,0.0343013468013468
kth_tips2b,C3_LOGOP_FUSION,4752,0.5418771043771043,0.1418234442836468,0.5035705491258311,0.0130246020260492,0.0027086924402856,-0.0008225331315776,0.0533816874522175,-0.0100456595594038,0.1801346801346801
fmd,C3_LINEAR_FUSION,1000,0.782,0.1220657276995305,0.7509529860228716,0.0,0.0,0.0042426664465561,0.0401184810529936,-0.0054670521190997,0.103
fmd,C3_LOGOP_FUSION,1000,0.782,0.1220657276995305,0.7509529860228716,0.0046948356807511,0.0050825921219822,0.0109311915170213,0.1665966502917943,-0.0311993583165576,0.189
kylberg,C3_LINEAR_FUSION,4480,0.1729910714285714,0.8125,0.1700268817204301,0.0,0.0,-0.0001041672776336,-9.745897810006789e-05,-0.000104191321718,0.0111607142857142
kylberg,C3_LOGOP_FUSION,4480,0.1729910714285714,0.8125,0.1700268817204301,0.3125,0.0002240143369175,0.0027049020937938,0.8224087705360708,-0.0002331046031318,0.3303571428571428
