dataset,comparison,delta_macro_f1,delta_nll,delta_macro_f1_ci,delta_nll_ci
kth_tips2b,B5_minus_B4W,0.1158768330786597,-0.4551349584636548,"[0.0763365669086462, 0.15140830307419942]","[-0.9757410890348078, -0.08104999482436306]"
fmd,B5_minus_B4W,0.027693450011606224,-0.138085033334562,"[0.0031439358922848194, 0.05125064568155252]","[-0.30947339353952774, -0.035225088910267856]"
kylberg,B5_minus_B4W,0.05644621049758214,-0.04778799140230694,"[0.038398337889444654, 0.07319215268760047]","[-0.3030885797242912, 0.38688486753233775]"
