dataset,method,accuracy,balanced_accuracy,macro_f1,nll,brier,ece
kth_tips2b,B4W,0.3377525252525252,0.3377525252525253,0.2835582251440502,2.433323713310109,0.8439312335307089,0.1472274975980946
kth_tips2b,C3_LogReg,0.8545875420875421,0.8545875420875422,0.8500046227072352,0.4667074071760577,0.2100441262763569,0.0205518545018777
fmd,B4W,0.243,0.243,0.2137669336402066,2.2705897819563123,0.8697874901542391,0.0841877458862334
fmd,C3_LogReg,0.787,0.7870000000000001,0.7871042177251173,0.6817813472777168,0.319305315015963,0.0459299557513498
kylberg,B4W,0.7566964285714286,0.7566964285714286,0.7502667245035386,1.0448842788890058,0.4338723973650846,0.2155115771478475
kylberg,C3_LogReg,0.9964285714285714,0.9964285714285712,0.9964296436843004,0.0121480980540759,0.0058398570837063,0.0005723115199443
